Province,Sector,Category,Gender,2006,2007,2008,2009,2010,2011,2012
Western,Agriculture,Tea,Male,370,413,452,549,537,655,727
Western,Agriculture,Tea,Female,304,319,417,486,493,592,635
Central,Agriculture,Tea,Male,324,360,416,485,530,575,649
Central,Agriculture,Tea,Female,203,224,383,461,514,535,598
Sabaragamuwa,Agriculture,Tea,Male,310,370,440,496,560,652,709
Sabaragamuwa,Agriculture,Tea,Female,230,274,421,463,536,639,705
Uva,Agriculture,Tea,Male,345,384,434,481,525,615,712
Uva,Agriculture,Tea,Female,243,268,399,446,501,600,691
Southern,Agriculture,Tea,Male,343,386,468,491,563,595,677
Southern,Agriculture,Tea,Female,225,238,439,447,552,582,703
All Island,Agriculture,Tea,Male,333,378,440,496,545,617,691
All Island,Agriculture,Tea,Female,234,261,305,356,396,438,512
Western,Agriculture,Rubber,Male,373,399,458,482,541,649,747
Western,Agriculture,Rubber,Female,287,294,414,421,494,609,605
Central,Agriculture,Rubber,Male,231,250,313,334,456,479,560
Central,Agriculture,Rubber,Female,226,258,315,352,456,476,560
North Western,Agriculture,Rubber,Male,0,0,0,517,603,630,682
North Western,Agriculture,Rubber,Female,0,0,0,494,573,600,619
Sabaragamuwa,Agriculture,Rubber,Male,317,379,534,569,608,684,761
Sabaragamuwa,Agriculture,Rubber,Female,230,277,485,527,581,650,733
Uva,Agriculture,Rubber,Male,0,0,504,536,573,607,710
Uva,Agriculture,Rubber,Female,0,0,504,524,566,600,714
Southern,Agriculture,Rubber,Male,308,344,504,507,564,559,634
Southern,Agriculture,Rubber,Female,248,244,483,492,510,530,650
Western,Agriculture,Paddy,Male,433,502,648,683,716,742,851
Western,Agriculture,Paddy,Female,339,349,579,602,650,743,781
Central,Agriculture,Paddy,Male,343,403,523,584,593,623,692
Central,Agriculture,Paddy,Female,208,241,548,539,552,589,676
North Central,Agriculture,Paddy,Male,394,457,576,643,719,812,923
North Central,Agriculture,Paddy,Female,327,380,565,622,710,782,886
North Western,Agriculture,Paddy,Male,359,419,525,565,620,658,733
North Western,Agriculture,Paddy,Female,239,285,478,567,616,632,671
Sabaragamuwa,Agriculture,Paddy,Male,323,396,470,521,596,637,725
Sabaragamuwa,Agriculture,Paddy,Female,245,291,471,535,568,614,703
Uva,Agriculture,Paddy,Male,356,381,448,487,523,590,665
Uva,Agriculture,Paddy,Female,265,281,405,467,506,584,621
Southern,Agriculture,Paddy,Male,402,523,623,675,727,773,857
Southern,Agriculture,Paddy,Female,343,449,622,692,655,730,752
Northern,Agriculture,Paddy,Male,480,552,623,738,696,781,879
Northern,Agriculture,Paddy,Female,343,372,480,659,541,697,771
Eastern,Agriculture,Paddy,Male,434,472,617,627,701,772,819
Eastern,Agriculture,Paddy,Female,320,360,480,516,650,681,772
All Island,Agriculture,Paddy,Male,391,453,562,615,658,704,787
All Island,Agriculture,Paddy,Female,293,331,395,432,454,530,599
